No,Section,Title,source,track,keywords,evidence,Link
103,Others,FactorEngine: A Program-level Knowledge-Infused Factor Mining Framework for Quantitative Investment,arXiv preprint,Artificial Intelligence (cs.AI),"Bayeisan optimization, LLM-guided search",https://arxiv.org/abs/2603.16365,https://arxiv.org/pdf/2603.16365v1
104,Others,Multi-Scale Temporal Neural Network for Stock Trend Prediction Enhanced by Temporal Hyperedge Learnings,IJCAI 2025,Main Track,DM: Applications; ML: Classification; ML: Deep learning architectures; ML: Relational learning,https://doi.org/10.24963/ijcai.2025/364,https://www.ijcai.org/proceedings/2025/0364.pdf
105,Others,Overreaction as an indicator for momentum in algorithmic trading: A Case of AAPL stocks,arXiv preprint,Trading and Market Microstructure (q-fin.TR); Portfolio Management (q-fin.PM),"algorithmic trading, momentum strategy",https://arxiv.org/abs/2602.18912,https://arxiv.org/pdf/2602.18912v1
106,Others,Factor Engine: A Python Library for Systematic Financial Factor Computation and Analysis,arXiv preprint,Computational Finance (q-fin.CP),"financial library, factor computation",https://arxiv.org/abs/2602.14138,http://arxiv.org/pdf/2602.14138v1
107,Others,Market Efficiency and the Heterogeneous Impact of Financial Liberalization: Evidence from the Shanghai-Hong Kong Stock Connect,arXiv preprint,General Finance (q-fin.GN),"market efficiency, financial liberalization",https://arxiv.org/abs/2602.14754,http://arxiv.org/pdf/2602.14754v2
108,Others,MEME: Modeling the Evolutionary Modes of Financial Markets,arXiv preprint,Artificial Intelligence (cs.AI),"market dynamics, evolutionary modeling",https://arxiv.org/abs/2602.11918,https://arxiv.org/pdf/2602.11918v1
109,Others,AlphaPROBE: Alpha Mining via Principled Retrieval and On-graph biased evolution,arXiv preprint,Artificial Intelligence (cs.AI),"alpha mining, graph neural networks",https://arxiv.org/abs/2602.11917,https://arxiv.org/pdf/2602.11917v1
110,Others,Cross-Sectional Asset Retrieval via Future-Aligned Soft Contrastive Learning,arXiv preprint,"Computational Engineering, Finance, and Science (cs.CE); Artificial Intelligence (cs.AI)","contrastive learning, asset retrieval",https://arxiv.org/abs/2602.10711,https://arxiv.org/pdf/2602.10711v1
111,Others,Systematic Trend-Following with Adaptive Portfolio Construction: Enhancing Risk-Adjusted Alpha in Cryptocurrency Markets,arXiv preprint,"Computational Engineering, Finance, and Science (cs.CE)","trend-following, cryptocurrency",https://arxiv.org/abs/2602.11708,https://arxiv.org/pdf/2602.11708v1
112,Others,Forecast-to-Fill: Benchmark-Neutral Alpha and Billion-Dollar Capacity in Gold Futures (2015-2025),arXiv preprint,Trading and Market Microstructure (q-fin.TR); Computational Finance (q-fin.CP); Portfolio Management (q-fin.PM); Risk Management (q-fin.RM); Statistical Finance (q-fin.ST),"futures trading, alpha generation",https://arxiv.org/abs/2511.08571,http://arxiv.org/pdf/2511.08571v1
113,Others,FCOC: A Fractal-Chaotic Co-driven Framework for Financial Volatility Forecasting,arXiv preprint,Risk Management (q-fin.RM),"volatility forecasting, chaos theory",https://arxiv.org/abs/2511.10365,https://arxiv.org/pdf/2511.10365v1
114,Others,Tfin Crypto: From Speculation to Optimization in Risk Managed Crypto Portfolio Allocation,arXiv preprint,Operating Systems (cs.OS),"crypto portfolio allocation, risk management",https://arxiv.org/abs/2511.13239,https://arxiv.org/pdf/2511.13239v1
115,Others,A Practical Machine Learning Approach for Dynamic Stock Recommendation,arXiv preprint,Trading and Market Microstructure (q-fin.TR); Computational Finance (q-fin.CP); Portfolio Management (q-fin.PM),"dynamic recommendation, machine learning",https://arxiv.org/abs/2511.12129,https://arxiv.org/pdf/2511.12129v1
116,Others,FINRS: A Risk-Sensitive Trading Framework for Real Financial Markets,arXiv preprint,Multiagent Systems (cs.MA),"risk-sensitive trading, financial markets",https://arxiv.org/abs/2511.12599,https://arxiv.org/pdf/2511.12599v1
117,Others,Portfolio Optimization via Transfer Learning,arXiv preprint,Portfolio Management (q-fin.PM); Applications (stat.AP),"transfer learning, portfolio optimization",https://arxiv.org/abs/2511.21221,https://arxiv.org/pdf/2511.21221v1
118,Others,Long-only cryptocurrency portfolio management by ranking the assets: a neural network approach,arXiv preprint,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Neural and Evolutionary Computing (cs.NE),"cryptocurrency, neural networks",https://arxiv.org/abs/2512.08124,https://arxiv.org/pdf/2512.08124v1
119,Others,Local and Global Balance in Financial Correlation Networks: an Application to Investment Decisions,arXiv preprint,Portfolio Management (q-fin.PM); Mathematical Finance (q-fin.MF),"correlation networks, graph theory",https://arxiv.org/abs/2512.10606,https://arxiv.org/pdf/2512.10606v1
120,Others,A Hybrid Model for Stock Market Forecasting: Integrating News Sentiment and Time Series Data with Graph Neural Networks,arXiv preprint,Machine Learning (cs.LG); Artificial Intelligence (cs.AI),"graph neural networks, sentiment analysis",https://arxiv.org/abs/2512.08567,http://arxiv.org/pdf/2512.08567v1
121,Others,Analysis of Contagion in China's Stock Market: A Hawkes Process Perspective,arXiv preprint,Statistical Finance (q-fin.ST); Risk Management (q-fin.RM),"Hawkes process, market contagion",https://arxiv.org/abs/2512.08000,http://arxiv.org/pdf/2512.08000v1
122,Others,Unveiling Hedge Funds: Topic Modeling and Sentiment Correlation with Fund Performance,arXiv preprint,Computational Finance (q-fin.CP),"topic modeling, sentiment analysis",https://arxiv.org/abs/2512.06620,http://arxiv.org/pdf/2512.06620v1
123,Others,Dynamic stacking ensemble learning with investor knowledge representations for stock market index prediction based on multi-source financial data,arXiv preprint,"Computational Engineering, Finance, and Science (cs.CE)","ensemble learning, knowledge representation",https://arxiv.org/abs/2512.14042,https://arxiv.org/pdf/2512.14042v1
124,Others,Adaptive Weighted Genetic Algorithm-Optimized SVR for Robust Long-Term Forecasting of Global Stock Indices for investment decisions,arXiv preprint,Computational Finance (q-fin.CP); Machine Learning (cs.LG),"genetic algorithms, SVR",https://arxiv.org/abs/2512.15113,https://arxiv.org/pdf/2512.15113v1
125,Others,Interpretable Deep Learning for Stock Returns: A Consensus-Bottleneck Asset Pricing Model,arXiv preprint,Pricing of Securities (q-fin.PR); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),"interpretable deep learning, asset pricing",https://arxiv.org/abs/2512.16251,https://arxiv.org/pdf/2512.16251v1
126,Others,The Nonstationarity-Complexity Tradeoff in Return Prediction,arXiv preprint,Machine Learning (stat.ML); Machine Learning (cs.LG); General Finance (q-fin.GN),"return prediction, nonstationarity",https://arxiv.org/abs/2512.23596,https://arxiv.org/pdf/2512.23596v1
127,Others,Alpha Discovery via Grammar-Guided Learning and Search,arXiv preprint,Computational Finance (q-fin.CP); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),"alpha discovery, grammar-guided search",https://arxiv.org/abs/2601.22119,https://arxiv.org/pdf/2601.22119v1
128,Others,"Generating Alpha: A Hybrid AI-Driven Trading System Integrating Technical Analysis, Machine Learning and Financial Sentiment for Regime-Adaptive Equity Strategies",arXiv preprint,Computational Finance (q-fin.CP),"hybrid AI, trading system",https://arxiv.org/abs/2601.19504,https://arxiv.org/pdf/2601.19504v1
129,Others,Forecasting Equity Correlations with Hybrid Transformer Graph Neural Network,arXiv preprint,Computational Finance (q-fin.CP); Trading and Market Microstructure (q-fin.TR),"graph neural network, transformer",https://arxiv.org/abs/2601.04602,http://arxiv.org/pdf/2601.04602v1
130,Others,A comprehensive review and analysis of different modeling approaches for financial index tracking problem,arXiv preprint,Portfolio Management (q-fin.PM); Machine Learning (stat.ML),"index tracking, review",https://arxiv.org/abs/2601.03927,https://arxiv.org/pdf/2601.03927v1
131,Others,Mitigating Distribution Shift in Stock Price Data via Return-Volatility Normalization for Accurate Prediction,CIKM 2025,Proceedings article,"distribution shift, normalization",https://doi.org/10.1145/3746252.3761067,https://dl.acm.org/doi/10.1145/3746252.3761067
132,Others,Reasoning on Time-Series for Financial Technical Analysis,arXiv preprint,Statistical Finance (q-fin.ST); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Computational Finance (q-fin.CP),"time-series reasoning, technical analysis",https://arxiv.org/abs/2511.08616,https://arxiv.org/pdf/2511.08616
133,Others,DeltaLag: Learning Dynamic Lead-Lag Patterns in Financial Markets,arXiv preprint,"Computational Engineering, Finance, and Science (cs.CE)","lead-lag patterns, dynamic learning",https://arxiv.org/abs/2511.00390,https://arxiv.org/pdf/2511.00390
134,Others,Fusing Narrative Semantics for Financial Volatility Forecasting,arXiv preprint,Computational Finance (q-fin.CP); Artificial Intelligence (cs.AI),"volatility forecasting, narrative semantics",https://arxiv.org/abs/2510.20699,https://arxiv.org/pdf/2510.20699
135,Others,Stock Prediction via a Dual Relation Fusion Network incorporating Static and Dynamic Relations,arXiv preprint,Machine Learning (cs.LG),"relation fusion, graph network",https://arxiv.org/abs/2510.10695,https://arxiv.org/pdf/2510.10695
